"Mot,Distribution,Fréquence relative"
foudre,2,0.000778816199376947
m,68,0.0264797507788162
sien,3,0.0011682242990654205
punissez,3,0.0011682242990654205
placer,1,0.0003894080996884735
appliquer,1,0.0003894080996884735
taire,1,0.0003894080996884735
corps,2,0.000778816199376947
charmantes,1,0.0003894080996884735
entretiens,1,0.0003894080996884735
prépare,1,0.0003894080996884735
aller,4,0.001557632398753894
mortelle,1,0.0003894080996884735
grande,2,0.000778816199376947
des,130,0.050623052959501556
pertes,3,0.0011682242990654205
soupirais,1,0.0003894080996884735
illustres,1,0.0003894080996884735
vit,6,0.002336448598130841
comment,2,0.000778816199376947
noble,6,0.002336448598130841
décide,1,0.0003894080996884735
demi,4,0.001557632398753894
mène,1,0.0003894080996884735
bataillons,1,0.0003894080996884735
recevez,6,0.002336448598130841
remparts,1,0.0003894080996884735
bel,1,0.0003894080996884735
cieux,3,0.0011682242990654205
charmes,3,0.0011682242990654205
