Numéro|Nom de Page|Lien image|Largeur|Longueur
f141|66r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f141|3807|5635
f142|66v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f142|3850|5615
f143|67r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f143|3807|5635
f144|67v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f144|3788|5624
f145|68r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f145|3816|5635
f146|68v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f146|3780|5624
f147|69r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f147|3801|5595
f148|69v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f148|3780|5624
f149|70r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f149|3801|5595
f150|70v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f150|3827|5641
f151|71r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f151|3828|5621
f152|71v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f152|3854|5641
f153|72r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f153|3828|5621
f154|72v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f154|3854|5641
f155|73r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f155|3793|5621
f156|73v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f156|3854|5641
f157|74r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f157|3785|5621
f158|74v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f158|3821|5641
f159|75r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f159|3785|5621
f160|75v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f160|3821|5641
f161|76r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f161|3748|5621
f162|76v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f162|3786|5620
f163|77r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f163|3817|5621
f164|77v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f164|3828|5620
f165|78r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f165|3804|5621
f166|78v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f166|3828|5620
f167|79r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f167|3857|5646
f168|79v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f168|3828|5620
f169|80r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f169|3857|5646
f170|80v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f170|3828|5620
f171|81r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f171|3857|5646
f172|81v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f172|3828|5620
f173|82r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f173|3844|5646
f174|82v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f174|3828|5620
f175|83r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f175|3836|5646
f176|83v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f176|3792|5624
f177|84r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f177|3836|5646
f178|84v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f178|3800|5608
f179|85r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f179|3836|5646
f180|85v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f180|3835|5600
f181|86r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f181|3836|5646
f182|86v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f182|3808|5632
f183|87r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f183|3810|5617
f184|87v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f184|3803|5616
f185|88r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f185|3825|5652
f186|88v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f186|3803|5616
f187|89r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f187|3852|5652
f188|89v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f188|3803|5616
f189|90r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f189|3825|5652
f190|90v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f190|3803|5616
f191|91r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f191|3825|5652
f192|91v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f192|3803|5616
f193|92r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f193|3825|5652
f194|92v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f194|3803|5616
f195|93r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f195|3844|5652
f196|93v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f196|3772|5616
f197|94r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f197|3821|5652
f198|94v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f198|3775|5616
f199|95r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f199|3838|5634
f200|95v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f200|3752|5597
f201|96r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f201|3838|5634
f202|96v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f202|3832|5584
f203|97r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f203|3838|5634
f204|97v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f204|3832|5584
f205|98r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f205|3838|5634
